"file","plant","root","order","parentroot","time","DBase","length","mean.diameter","sd.diameter","nlat","branching.angle","tortuosity","surface","volume","lauz"
"PL01_DAS04",1,1,1,0,4,0,19.1086660356722,0.134212799029821,0.0159210386474977,35,30.9402972683487,1.02277093691931,7.99946778802249,0.269279286775384,15.2104824476624
"PL01_DAS04",1,2,2,1,4,1.37583631068211,0.842833254580786,0.135293209903846,0.0917623285021108,0,55.2472564656626,1.01715160761648,0.315259282158275,0.0113375156196795,0.842833254580786
"PL01_DAS04",1,3,2,1,4,1.96574644780084,0.935401404972224,0.0857235333128205,0.0364675333300695,0,45.9663619256763,1.03173263352821,0.234434270381659,0.00507539655797014,0.935401404972224
"PL01_DAS04",1,4,2,1,4,0.778670842949873,1.36644079292616,0.0958562881419581,0.0346083169998998,0,55.1537549448158,1.01883833011348,0.395852665903178,0.00961725191184856,1.36644079292616
"PL01_DAS04",1,5,2,1,4,0.840154272349718,1.41863299938648,0.126998714735577,0.0209040402836074,0,46.2472124285321,1.0104788016588,0.602548110958811,0.0206496772744308,1.41863299938648
"PL01_DAS04",1,6,2,1,4,0.376475115171149,0.699401105387439,0.162566597487179,0.0906931520393766,0,30.3619344038089,1.18740540265467,0.345870383500986,0.0148979871121414,0.699401105387439
"PL01_DAS04",1,7,2,1,4,0.738853654593402,1.12181069532036,0.105863193638462,0.0420928590855901,0,63.2062133929332,1.07000410682045,0.427536003607759,0.0136878910261678,1.12181069532036
"PL01_DAS04",1,8,2,1,4,0.292071004277386,0.971712360303297,0.0741071197413462,0.0163941088713567,0,58.5530467267852,1.21105303457764,0.243524543111983,0.00494012698136144,0.971712360303297
"PL01_DAS04",1,9,2,1,4,0.506196226140193,0.89670498206994,0.132849158306154,0.0795772424435542,0,69.9864692248812,1.03472164089984,0.438655639493377,0.0193371726315977,0.89670498206994
"PL01_DAS04",1,10,2,1,4,0.964126847804863,1.21022988358047,0.0645956870571429,0.00662057362729453,0,57.1459885809943,1.02766865944518,0.252000384708588,0.00419248064095845,1.21022988358047
"PL01_DAS04",1,11,2,1,4,1.01364964800594,1.14087126798389,0.0996801195076923,0.0629678028910838,0,51.0789863475942,1.15187980553685,0.355710472639672,0.0109522281427225,1.14087126798389
"PL01_DAS04",1,12,2,1,4,0.662347152300155,2.17248303761842,0.0728467778606838,0.0170484304402102,0,11.0793590011305,1.03805474966389,0.563227597707796,0.0117729319517964,2.17248303761842
