"FileName","Time","TRL","GRTR","L1R","GR1R","TN1R","TNLR","TLRL","N2LR","L2LR","ML2LR","GR2L","D2LR","Height","Width","Convexhull","Magnitude","Altitude","ExtPathLength","MD1","MD2","MDLR","S1","S2","Stot","V1","V2","Vtot","LPR","LBR","GRPR","GRBR","TNBR","TNPR","MLBR","MDPR","MDBR","SPR","SBR","VPR","VBR"
"PL10_DAS04_1",4,26.152086274997,13.512535367131,16.8770923516564,4.23754144379046,1,22,9.27499392334059,22,9.27499392334059,0.421590632879118,9.27499392334059,1.30354207594537,16.3703640861538,2.12148517692308,21.3046991250392,23,22,275,0.145515226973034,0.062039716046082,0.062039716046082,7.50376603394913,1.91039017521273,9.41415620916186,0.268306453332118,0.0341682549174885,0.302474708249607,16.8770923516564,0,4.23754144379046,0,0,1,0,0.145515226973034,NA,7.50376603394913,NA,0.268306453332118,NA
"PL01_DAS05_1",5,91.7454009522585,50.4304765108832,25.0509178562896,5.94225182061738,1,58,66.694483095969,58,66.694483095969,1.14990488096498,44.4882246902659,2.31528442721063,23.4994191115385,4.83230603846154,81.5202831876947,59,59,1828,0.134935823522715,0.0988094016461538,0.0988094016461538,10.4816778585774,21.9426587734348,32.4243366320123,0.351482762449131,0.669414210881038,1.02089697333017,25.0509178562896,0,5.94225182061738,0,0,1,0,0.134935823522715,NA,10.4816778585774,NA,0.351482762449131,NA
"PL08_DAS05_1",5,51.169104356264,25.2911424611396,23.4557040130776,5.73384522088062,1,35,27.7134003431864,35,27.7134003431864,0.791811438376753,19.557297240259,1.49217435471073,21.2812639769231,6.43522676923077,43.7351853002208,36,36,701,0.150470903174344,0.0946652531661611,0.0946652531661611,11.3101400143583,8.56617155575821,19.8763115701165,0.442194469231993,0.240791312326337,0.68298578155833,23.4557040130776,0,5.73384522088062,0,0,1,0,0.150470903174344,NA,11.3101400143583,NA,0.442194469231993,NA
"PL10_DAS05_1",5,47.2627052737651,21.1106189987681,22.3997187136922,5.52262636203582,1,40,24.8629865600729,40,24.8629865600729,0.621574664001822,15.5879926367323,1.78573670996811,21.79307935,2.36956502307692,35.3129064455755,41,40,860,0.146217806771784,0.0770516663154164,0.0770516663154164,10.0650919873758,6.22379430078619,16.288886288162,0.364656148987961,0.145896969735965,0.510553118723926,22.3997187136922,0,5.52262636203582,0,0,1,0,0.146217806771784,NA,10.0650919873758,NA,0.364656148987961,NA
"PL01_DAS06_1",6,160.744958028048,68.9995570757896,28.1667389071566,3.11582105086704,1,98,132.578219120892,98,132.578219120892,1.35283897062134,65.8837360249226,3.47928101733851,25.9633778615385,6.58767854615385,119.026809791406,99,99,5048,0.123416806684706,0.0586166907376486,0.0586166907376486,10.2354411274476,26.2244039677953,36.4598450952429,0.303335666470631,0.48085497935647,0.784190645827101,28.1667389071566,0,3.11582105086704,0,0,1,0,0.123416806684706,NA,10.2354411274476,NA,0.303335666470631,NA
"PL08_DAS06_1",6,93.6418806564763,42.4727763002123,28.8799566370081,5.42425262393049,2,73,64.7619240194682,73,64.7619240194682,0.887149644102304,37.0485236762818,2.66097492897562,25.1686353076923,6.53321410769231,75.4575072046312,75,74,2849,0.129283807299348,0.0633757871229526,0.0633757871229526,11.5262694680814,14.7166881248157,26.2429575928971,0.373240621867857,0.321128850064819,0.694369471932677,27.4335542229639,1.44640241404426,3.97785020988623,1.44640241404426,1,1,0.289280482808851,0.130377189413541,0.0957534224641026,11.0403334086573,0.485936059424177,0.359893531260103,0.0133470906077539
"PL10_DAS06_1",6,87.217028597179,39.9543233234139,26.7127938977199,4.31307518402766,1,77,60.5042346994591,77,60.5042346994591,0.785769281811158,35.6412481393862,2.88251391055626,25.9442145384615,2.51961845384615,47.0056920548117,78,76,3003,0.123899635913367,0.0618939342477436,0.0618939342477436,9.85139171605016,12.8762837514966,22.7276754675468,0.299301525525793,0.256657981372626,0.555959506898419,26.7127938977199,0,4.31307518402766,0,0,1,0,0.123899635913367,NA,9.85139171605016,NA,0.299301525525793,NA
"PL01_DAS07_1",7,225.064774970877,64.3198169428287,33.904495809124,5.7377569019674,3,115,191.160279161753,115,191.160279161753,1.66226329705872,58.5820600408613,3.64905359308139,28.7749532938462,8.87985465384615,167.941664812196,118,116,6903,0.12234841702022,0.0584693474383206,0.0584693474383206,12.2734054544491,37.8220605191479,50.095465973597,0.36111258256937,0.686046654368521,1.04715923693789,31.5150208311657,2.3894749779583,3.3482819240091,2.3894749779583,2,1,0.199122914829858,0.12282483981159,0.113636685978022,11.4232897106636,0.850115743785527,0.336486478706294,0.0246261038630756
"PL08_DAS07_1",7,146.012580862764,52.3707002062882,35.5962437415941,6.71628710458596,3,98,110.41633712117,98,110.41633712117,1.12669731756296,45.6544131017022,3.28137823063123,26.9473553,7.05118556153846,104.178693811728,101,99,5050,0.128406131464067,0.060468159255851,0.060468159255851,14.2277995875375,23.4173689725967,37.6451685601342,0.463460238874427,0.463931216342598,0.927391455217024,29.865499528577,5.73074421301705,2.43194530561316,4.2843417989728,2,1,0.220413238962194,0.131274736514815,0.106071992140385,12.29288732877,1.93491225876746,0.410946357144393,0.0525138817300341
"PL10_DAS07_1",7,129.071689904801,41.8546613076219,33.2476953554127,6.53490145769281,4,87,95.8239945493882,87,95.8239945493882,1.10142522470561,35.3197598499291,2.93587035550014,28.2919908553846,4.43707813076923,79.5086647036251,91,86,3831,0.123023454403972,0.0590348284450719,0.0590348284450719,12.3047040706436,19.2612693667041,31.5659734373478,0.372485654414166,0.358432717735623,0.730918372149788,29.6334611087345,3.61423424667818,2.92066721101464,3.61423424667818,3,1,0.190222855088325,0.125685388210997,0.0970091012898601,11.1568438038391,1.14786026680458,0.343201384208779,0.0292842702053866
"PL01_DAS08_1",8,280.894382565773,55.8296075948966,41.6315098524371,7.7270140433131,3,128,239.262872713336,128,239.262872713336,1.86924119307294,48.1025935515835,3.89270726552171,30.0100706923077,10.2581368076923,196.935659464173,131,129,8515,0.117955473845724,0.0552501278414799,0.0552501278414799,14.3890333787199,45.1883808397338,59.5774142184537,0.406955591582182,0.789361423811968,1.19631701539415,32.8819999216779,8.74950993075915,1.36697909051225,6.36003495280085,2,1,0.257338527375269,0.120455679232159,0.0985788821008547,11.6626567643697,2.72637661435021,0.337607549871773,0.0693480417104098
"PL08_DAS08_1",8,201.22664615786,55.2140652950951,46.0680416333046,10.4717978917106,4,125,155.158604524555,125,155.158604524555,1.24126883619644,44.7422674033846,3.88379366396627,28.0739586230769,8.08372682307692,133.801413425738,129,126,8129,0.120907901968088,0.0551286816740708,0.0551286816740708,16.8195813846554,30.182769581865,47.0023509665204,0.503359677256538,0.550055189060661,1.0534148663172,32.1850259862533,13.8830156470514,2.31952645767624,8.15227143403433,3,1,0.220365327730974,0.126614302962185,0.0981687586128205,12.3501632435133,4.46941814114213,0.386137461740989,0.117222215515549
"PL10_DAS08_1",8,164.046932007965,34.9752421031641,40.7041683471063,7.45647299169359,5,93,123.342763660859,93,123.342763660859,1.32626627592321,27.5187691114705,3.25974433127441,27.5035396861539,5.15203830769231,92.7975363852576,98,92,4375,0.114879584704035,0.0567352258026643,0.0567352258026643,13.9156298964346,23.5935887364684,37.5092186329029,0.395070186171427,0.417013653336687,0.812083839508115,28.5298448432738,12.1743235038325,0,8.56008925715436,4,1,0.196360056513428,0.121807105097016,0.0913680003399767,10.282229095223,3.63340080121155,0.306909074337455,0.0881611118339723
