"FileName","Time","TRL","GRTR","L1R","GR1R","TN1R","TNLR","TLRL","N2LR","N3LR","L2LR","L3LR","ML2LR","ML3LR","GR2L","GR3L","D2LR","Height","Width","Convexhull","MD1","MD2","MD3","MDLR","S1","S2","S3","Stot","V1","V2","V3","Vtot"
"lupin_d5_2",5,93.5195749081364,10.4722790949238,26.2794733688331,0.813750507812173,1,65,67.2401015393033,65,0,67.2401015393033,0,1.03446310060467,0,9.6585285871116,0,2.47341334005151,21.9978644793333,7.59960041333334,89.8507146703477,0.133954162806048,0.0336881493062696,NA,0.0336881493062696,13.273530573675,7.40431649258603,NA,20.677847066261,0.805972854825695,0.0683371889390198,NA,0.874310043764714
"lupin_d5_3",5,91.1501735947821,27.0244282330452,24.8156433484588,2.05417805947548,1,66,66.3345302463233,66,0,66.3345302463233,0,1.00506864009581,0,24.9702501735697,0,2.65961269160886,24.0917835833333,4.15031416993333,59.150482514504,0.143407765180312,0.0395968758887867,NA,0.0395968758887867,10.9467088926701,8.82156893711675,NA,19.7682778297869,0.46537782904093,0.100854700491712,NA,0.566232529532641
"lupin_d6_1",6,167.071607826004,39.847053878092,34.2318503501639,4.18009761953228,1,92,132.83975747584,92,0,132.83975747584,0,1.44391040734609,0,35.6669562585597,0,2.6875555676633,32.9217961493333,7.63528792133333,131.749137996327,0.121517700359875,0.0383892623067756,NA,0.0383892623067756,16.1545002039981,17.063470295723,NA,33.2179704997212,0.946502462509931,0.188839531906075,NA,1.13534199441601
"lupin_d6_2",6,116.425490567363,22.9059156592262,31.481866852161,5.20239348332793,1,77,84.9436237152015,77,0,84.9436237152015,0,1.10316394435327,0,17.7035221758983,0,2.44585241280615,23.4211413296667,8.47829986666667,91.5452579106012,0.128595053147656,0.0342165065881038,NA,0.0342165065881038,15.8245954868769,9.56485083030813,NA,25.3894463171851,0.989527660524934,0.0920391465076757,NA,1.08156680703261
"lupin_d6_3",6,136.75451129789,45.6043377031078,31.464493277175,6.64884992871612,1,92,105.290018020715,92,0,105.290018020715,0,1.14445671761647,0,38.9554877743917,0,2.92393076823325,29.7204131100667,6.53119653033333,117.564145652543,0.144043315751106,0.0375829808539439,NA,0.0375829808539439,17.1661948045603,13.4092531965829,NA,30.5754480011432,1.12582410990027,0.145785781920203,NA,1.27160989182047
"lupin_d8_1",8,194.363444850867,13.6459185124316,35.2138206176573,0.490985133746683,1,107,159.14962423321,103,4,158.263726931725,0.885897301484938,1.53654103817209,0.221474325371234,12.7119847279425,0.442948650742469,2.92498792216692,31.013170384,11.6540502673333,169.602374727436,0.133197281506673,0.0380521613359634,0.0220255615407843,0.0379170163972143,17.2127942794737,20.2926098821096,0.061590319845395,37.5669944814287,1.01652754348757,0.222288391781514,0.000349860994396699,1.23916579626348
"lupin_d8_2",8,226.053297349721,54.8139033911792,40.5981841642522,4.55815865604559,1,106,185.455113185469,105,1,185.261538149551,0.19357503591769,1.7643956014243,0.19357503591769,50.1589572171748,0.0967875179588451,2.5863225698763,26.8565297514,9.90349640666667,183.030372029192,0.117963950708592,0.0376979256985529,0.0287576403933333,0.0376784054249607,18.643945267454,23.58442339947,0.0166563105799542,42.245024977504,1.11785009679426,0.25901138390181,0.000125544229815921,1.37698702492589
"lupin_d8_3",8,146.373523668293,4.80950618520153,32.8566437059366,0.696075214380835,1,90,113.516879962356,90,0,113.516879962356,0,1.2612986662484,0,4.11343097082068,0,2.73917204707487,26.2867448186667,7.08886483333333,150.056260523499,0.12517154907284,0.0325384097775905,NA,0.0325384097775905,15.2337511143534,12.1252124608585,NA,27.358963575212,0.870054540684773,0.108419328264646,NA,0.978473868949419
"lupin_d9_1",9,250.900263347145,56.5368184962784,41.8347144709123,6.62089385325499,1,113,209.065548876233,111,2,208.771634914995,0.293913961238432,1.88082553977473,0.146956980619216,50.5079079832699,0,2.65329885488231,32.2891017581333,16.8818206093333,267.701730039704,0.115346047546489,0.0372282479890701,0.0266087693085714,0.0371977071711722,17.3620991922179,25.9656642225464,0.0221695731451118,43.3499329879093,0.920083260349902,0.278643845863025,0.000151058086841871,1.19887816429977
"lupin_d9_2",9,144.872511472253,0,33.5656482726403,0,1,89,111.306863199613,89,0,111.306863199613,0,1.2506389123552,0,0,0,2.65152036621157,29.0757160081333,7.61991533333333,134.156502172328,0.123913374405741,0.0316378644404804,NA,0.0316378644404804,14.6516305515394,11.3159043333602,NA,25.9675348848996,0.75915249958986,0.0955681859054122,NA,0.854720685495272
"lupin_d9_3",9,206.824868265562,60.4513445972693,35.622384893023,2.76574118708638,1,104,171.202483372539,101,3,170.323430167414,0.879053205124863,1.68637059571698,0.293017735041621,56.8065502050581,0.879053205124863,2.83529584847593,33.0732035173333,8.65724400966667,179.660135034712,0.131828538444717,0.0373568616896105,0.0292253932466667,0.0372680813889928,15.7134972970623,21.7244362226206,0.082383101537777,37.5203166212207,0.797261511985679,0.23809083698325,0.000640060647369991,1.0359924096163
"lupin_d11_1",11,292.370097419622,20.734917036238,40.2821342142689,0,1,175,252.087963205353,149,26,248.175433048544,3.9125301568087,1.6656069332117,0.150481929108027,19.7018990667746,1.80930809778513,3.69891027142302,31.6795158466667,16.410245691,281.082642524462,0.121569398107191,0.0385593471434356,0.0253890488084058,0.0380989871712385,16.3023652421128,31.7830767636138,0.321372369408846,48.4068143751355,0.684907749277556,0.34473737135142,0.00219051759452514,1.0318356382235
"lupin_d11_2",11,381.887021636077,118.507255081912,48.4147949885056,7.42457335793268,1,265,333.472226647572,169,96,317.92007291774,15.5521537298313,1.88118386341858,0.16200160135241,103.306604859064,7.77607686491567,3.49066850412406,30.5619121890667,17.7461561933333,289.917666495687,0.117560603791642,0.038845896254849,0.0246261263139347,0.0376099485090886,20.2624364745411,40.8625713407426,1.2454673913198,62.3704752066036,1.02976736119697,0.445811932905714,0.00846666475951651,1.4840459588622
"lupin_d11_3",11,190.291664406001,0,37.5446818927018,0.961148499839393,1,118,152.746982513299,118,0,152.746982513299,0,1.29446595350253,0,0,0,3.14292182145077,30.9322526218667,6.9583554,147.090520868672,0.113105565214854,0.0321459489460405,NA,0.0321459489460405,14.824281656068,16.0488109999563,NA,30.8730926560243,0.658015412727382,0.139366564055034,NA,0.797381976782416
